A,B,A_B
281355,281356,281355_281356
281356,281357,281356_281357
281368,51074,281368_51074
500281,281368,500281_281368
281377,51080,281377_51080
256663,281377,256663_281377
281378,233508,281378_233508
51080,281378,51080_281378
281379,51133,281379_51133
51139,281379,51139_281379
51133,281380,51133_281380
281414,257500,281414_257500
281415,281414,281415_281414
281380,281415,281380_281415
257500,281416,257500_281416
281416,281417,281416_281417
281417,281418,281417_281418
281420,51046,281420_51046
51042,281420,51042_281420
281421,51036,281421_51036
201360,281421,201360_281421
281427,270136,281427_270136
233527,281427,233527_281427
281439,270080,281439_270080
51041,281439,51041_281439
50790,281441,50790_281441
281442,281330,281442_281330
281441,281442,281441_281442
281567,246184,281567_246184
281571,246192,281571_246192
257544,281571,257544_281571
283807,50860,283807_50860
283806,283807,283806_283807
286485,246194,286485_246194
50608,286485,50608_286485
286593,51054,286593_51054
51056,286594,51056_286594
290431,50594,290431_50594
50612,290431,50612_290431
297744,281319,297744_281319
286301,297744,286301_297744
300064,50742,300064_50742
50741,300064,50741_300064
300426,51087,300426_51087
51119,300426,51119_300426
300649,51008,300649_51008
51012,300649,51012_300649
301204,51456,301204_51456
281357,301204,281357_301204
328620,50973,328620_50973
331271,50596,331271_50596
254758,331271,254758_331271
340431,286301,340431_286301
281318,340431,281318_340431
50740,500282,50740_500282
500282,50731,500282_50731
15658,50936,15658_50936
15658,15659,15658_15659
15662,50912,15662_50912
15662,50937,15662_50937
50912,15659,50912_15659
51750,51749,51750_51749
51897,51896,51897_51896
51897,51898,51897_51898
51148,51126,51148_51126
51126,51125,51126_51125
51125,51123,51125_51123
51123,51122,51123_51122
50938,50935,50938_50935
50905,50906,50905_50906
50934,50933,50934_50933
51069,51068,51069_51068
50927,50921,50927_50921
50906,50890,50906_50890
50907,50902,50907_50902
50902,50901,50902_50901
50929,50927,50929_50927
51059,51061,51059_51061
51068,51067,51068_51067
51069,51076,51069_51076
50890,50889,50890_50889
51067,51066,51067_51066
50889,50888,50889_50888
50928,50925,50928_50925
50900,50894,50900_50894
50894,50897,50894_50897
50888,50893,50888_50893
50897,50896,50897_50896
50896,50892,50896_50892
50893,50892,50893_50892
50885,50884,50885_50884
50886,50992,50886_50992
50995,50994,50995_50994
50994,50990,50994_50990
50991,50990,50991_50990
51038,51036,51038_51036
50984,50986,50984_50986
50984,50983,50984_50983
50982,50979,50982_50979
50857,50858,50857_50858
48276,48275,48276_48275
50875,50872,50875_50872
50858,50866,50858_50866
50980,50976,50980_50976
50977,50978,50977_50978
50975,50974,50975_50974
50978,50985,50978_50985
50999,51000,50999_51000
51037,51035,51037_51035
50872,50865,50872_50865
50866,50865,50866_50865
50865,50867,50865_50867
50959,50958,50959_50958
50961,50959,50961_50959
50968,50961,50968_50961
50968,50969,50968_50969
51014,51013,51014_51013
51030,51029,51030_51029
50853,50851,50853_50851
51023,51022,51023_51022
50851,50957,50851_50957
51022,51021,51022_51021
50842,50841,50842_50841
50841,280807,50841_280807
51021,51012,51021_51012
51011,51012,51011_51012
50970,51008,50970_51008
50824,50823,50824_50823
50828,50826,50828_50826
50823,50814,50823_50814
50826,50825,50826_50825
50825,50827,50825_50827
50827,50603,50827_50603
50825,50570,50825_50570
50603,50571,50603_50571
50749,50748,50749_50748
50570,50558,50570_50558
50558,50556,50558_50556
50556,50557,50556_50557
50618,50615,50618_50615
50561,50551,50561_50551
50557,50551,50557_50551
50551,50560,50551_50560
50563,50560,50563_50560
50601,50598,50601_50598
50610,50609,50610_50609
50601,50609,50601_50609
50615,50614,50615_50614
50551,50550,50551_50550
51117,51116,51117_51116
50884,50880,50884_50880
50909,50908,50909_50908
51752,51764,51752_51764
50852,50851,50852_50851
51066,51064,51066_51064
50899,50896,50899_50896
50983,50981,50983_50981
50976,50977,50976_50977
50852,50853,50852_50853
50867,50852,50867_50852
13231,50838,13231_50838
280807,13231,280807_13231
176835,270746,176835_270746
176834,176835,176834_176835
50965,176834,50965_176834
50957,50956,50957_50956
50864,199557,50864_199557
51007,50797,51007_50797
51099,51097,51099_51097
51745,48712,51745_48712
281367,500281,281367_500281
50569,50561,50569_50561
